date,close_price
2022-06-03,29704.39063
2022-06-04,29832.91406
2022-06-05,29906.66211
2022-06-06,31370.67188
2022-06-07,31155.47852
2022-06-08,30214.35547
2022-06-09,30111.99805
2022-06-10,29083.80469
2022-06-11,28360.81055
2022-06-12,26762.64844
2022-06-13,22487.38867
2022-06-14,22206.79297
2022-06-15,22572.83984
2022-06-16,20381.65039
2022-06-17,20471.48242
2022-06-18,19017.64258
2022-06-19,20553.27148
2022-06-20,20599.53711
2022-06-21,20710.59766
2022-06-22,19987.0293
2022-06-23,21085.87695
2022-06-24,21231.65625
2022-06-25,21502.33789
2022-06-26,21027.29492
2022-06-27,20735.47852
2022-06-28,20280.63477
2022-06-29,20104.02344
2022-06-30,19784.72656
2022-07-01,19269.36719
2022-07-02,19242.25586
2022-07-03,19297.07617
2022-07-04,20231.26172
2022-07-05,20190.11523
2022-07-06,20548.24609
2022-07-07,21637.58789
2022-07-08,21731.11719
2022-07-09,21592.20703
2022-07-10,20860.44922
2022-07-11,19970.55664
2022-07-12,19323.91406
2022-07-13,20212.07422
2022-07-14,20569.91992
2022-07-15,20836.32813
2022-07-16,21190.31641
2022-07-17,20779.34375
2022-07-18,22485.68945
2022-07-19,23389.43359
2022-07-20,23231.73242
2022-07-21,23164.62891
2022-07-22,22714.97852
2022-07-23,22465.47852
2022-07-24,22609.16406
2022-07-25,21361.70117
2022-07-26,21239.75391
2022-07-27,22930.54883
2022-07-28,23843.88672
2022-07-29,23804.63281
2022-07-30,23656.20703
2022-07-31,23336.89648
2022-08-01,23314.19922
2022-08-02,22978.11719
2022-08-03,22846.50781
2022-08-04,22630.95703
2022-08-05,23289.31445
2022-08-06,22961.2793
2022-08-07,23175.89063
2022-08-08,23809.48633
2022-08-09,23164.31836
2022-08-10,23947.64258
2022-08-11,23957.5293
2022-08-12,24402.81836
2022-08-13,24424.06836
2022-08-14,24319.33398
2022-08-15,24136.97266
2022-08-16,23883.29102
2022-08-17,23335.99805
2022-08-18,23212.73828
2022-08-19,20877.55273
2022-08-20,21166.06055
2022-08-21,21534.12109
2022-08-22,21398.9082
2022-08-23,21528.08789
2022-08-24,21395.01953
2022-08-25,21600.9043
2022-08-26,20260.01953
2022-08-27,20041.73828
2022-08-28,19616.81445
2022-08-29,20297.99414
2022-08-30,19796.80859
2022-08-31,20049.76367
2022-09-01,20127.14063
2022-09-02,19969.77148
2022-09-03,19832.08789
2022-09-04,19986.71289
2022-09-05,19812.37109
2022-09-06,18837.66797
2022-09-07,19290.32422
2022-09-08,19329.83398
2022-09-09,21381.15234
2022-09-10,21680.53906
2022-09-11,21769.25586
2022-09-12,22370.44922
2022-09-13,20296.70703
2022-09-14,20241.08984
2022-09-15,19701.21094
2022-09-16,19772.58398
2022-09-17,20127.57617
2022-09-18,19419.50586
2022-09-19,19544.12891
2022-09-20,18890.78906
2022-09-21,18547.40039
2022-09-22,19413.55078
2022-09-23,19297.63867
2022-09-24,18937.01172
2022-09-25,18802.09766
2022-09-26,19222.67188
2022-09-27,19110.54688
2022-09-28,19426.7207
2022-09-29,19573.05078
2022-09-30,19431.78906
